date,tournament,home_team,away_team,home_goals,away_goals,goal_diff,home_win,overall_diff,age_diff,balance_diff,player_pool_diff,rank_advantage,points_diff
2005-03-26,FIFA World Cup qualification,France,Switzerland,0,0,0,0,3.457972388249651,0.5791753337370658,-0.8846170449234032,745.0,13.0,200.81000000000017
2005-03-26,FIFA World Cup qualification,Morocco,Guinea,1,0,1,1,0.8938461538461553,0.12923076923076948,-0.8188014589510964,53.0,63.0,344.6400000000001
2005-03-26,FIFA World Cup qualification,Poland,Azerbaijan,8,0,8,1,-0.22933446375583344,0.23145400593471877,2.381160291182523,330.0,83.0,343.64999999999986
2005-03-26,Friendly,Portugal,Canada,4,1,3,1,6.544909586326483,-0.029328709437699274,0.6699581527116534,312.0,32.0,246.76999999999998
2005-03-26,FIFA World Cup qualification,Romania,Netherlands,0,2,-2,0,0.6682074987159723,2.700841531350008,-0.8043805948282152,-370.0,-38.0,-283.80999999999995
2005-03-26,FIFA World Cup qualification,Senegal,Liberia,6,1,5,1,4.302325581395351,3.546511627906977,2.174626852450709,127.0,123.0,556.29
2005-03-26,Friendly,Slovenia,Germany,0,1,-1,0,2.360661268556015,2.19736842105263,-0.2743580696149097,-1075.0,-39.0,-228.96000000000004
2005-03-26,Friendly,Spain,China PR,3,0,3,1,2.339156035328756,-2.0880274779195283,1.2357979989019672,989.0,84.0,568.1600000000001
2005-03-26,FIFA World Cup qualification,Wales,Austria,0,2,-2,0,-0.20722538052447703,0.4117916743077181,0.3788266980009407,-143.0,-8.0,-70.15999999999985
2005-03-27,FIFA World Cup qualification,Brazil,Peru,1,0,1,1,2.1619868637110073,1.241461412151068,-0.032500316354697745,782.0,37.0,295.92999999999984
2005-03-27,FIFA World Cup qualification,Cameroon,Sudan,2,1,1,1,7.6511627906976685,2.0697674418604635,4.00017611174534,84.0,70.0,306.18000000000006
2005-03-27,FIFA World Cup qualification,Ecuador,Paraguay,5,2,3,1,0.8468468468468444,0.9526047786917324,-0.5512538442210433,-32.0,35.0,133.6400000000001
2005-03-30,FIFA World Cup qualification,Argentina,Colombia,1,0,1,1,2.088438243943415,0.5441289735331196,0.38452722555516416,373.0,8.0,139.93000000000006
2005-03-30,FIFA World Cup qualification,Austria,Wales,1,0,1,1,0.20722538052447703,-0.4117916743077181,-0.3788266980009407,143.0,8.0,70.15999999999985
2005-03-30,FIFA World Cup qualification,Croatia,Malta,3,0,3,1,7.073394495412842,0.3149847094801217,6.640906507712251,106.0,160.0,730.6899999999999
2005-03-30,FIFA World Cup qualification,England,Azerbaijan,2,0,2,1,-1.215775635407546,-1.0803680981595107,2.6916615447549264,1623.0,107.0,632.3799999999999
2005-03-30,FIFA World Cup qualification,Israel,France,1,1,0,0,3.880368098159508,2.198364008179958,-3.1183355480223405,-966.0,-76.0,-542.3700000000001
2005-03-30,FIFA World Cup qualification,Kuwait,Saudi Arabia,0,0,0,0,4.911854103343465,2.2477203647416424,1.3163126812977568,-327.0,-80.0,-332.8799999999999
2005-03-30,FIFA World Cup qualification,Netherlands,Armenia,2,0,2,1,1.0606060606060623,-2.0434565434565464,-0.9661033468825444,415.0,90.0,527.72
2005-03-30,FIFA World Cup qualification,Panama,Mexico,1,1,0,0,0.040277777777774304,0.8847222222222229,-2.5153063123907247,-344.0,-18.0,-132.55999999999995
2005-03-30,FIFA World Cup qualification,Peru,Ecuador,2,2,0,0,-1.7801801801801815,-1.0873873873873876,0.5970991767628986,-7.0,-15.0,-40.75999999999999
2005-03-30,FIFA World Cup qualification,Poland,Northern Ireland,1,0,1,1,1.5796356359119486,-0.32668552894900316,-0.352437287048029,251.0,46.0,182.20000000000005
2005-03-30,FIFA World Cup qualification,Serbia,Spain,0,0,0,0,0.5044529872276371,0.2015613125059943,-1.0282384849159456,-886.0,-29.0,-328.77
2005-03-30,FIFA World Cup qualification,Slovakia,Portugal,1,1,0,0,-3.8494550408719306,0.36341961852861004,0.20484282687136446,-303.0,-36.0,-262.3600000000001
2005-03-30,FIFA World Cup qualification,Switzerland,Cyprus,1,0,1,1,1.3737807257120593,2.0557939914163086,1.047382901720165,222.0,112.0,517.3199999999999
2005-03-30,FIFA World Cup qualification,Ukraine,Denmark,1,0,1,1,6.731567771617321,1.6562463135543233,-1.6001623009022037,-297.0,-4.0,-40.26999999999998
2005-03-30,FIFA World Cup qualification,Uruguay,Brazil,1,1,0,0,-1.4181960140378038,-1.0839450722817858,0.6338342067099401,-659.0,-6.0,-72.45999999999981
2005-04-27,Friendly,Mexico,Poland,1,1,0,0,1.5908424002637673,-0.3036762281569416,-0.34281404907498025,23.0,11.0,111.57999999999993
2005-05-04,Friendly,Ecuador,Paraguay,1,0,1,1,0.8468468468468444,0.9526047786917324,-0.5512538442210433,-32.0,35.0,133.6400000000001
2005-05-22,Kirin Cup,Japan,Peru,0,1,-1,0,-6.46041222459133,0.5983653162757641,0.8498657631188733,439.0,24.0,139.12999999999988
2005-05-24,Friendly,Norway,Costa Rica,1,0,1,1,-6.616133374754071,-2.3178005591798687,0.9546452327470387,304.0,-1.0,-3.2100000000000364
2005-05-27,Friendly,Tunisia,Angola,4,1,3,1,-0.2021505376344095,1.5612903225806427,-1.6181708499836551,16.0,49.0,238.40999999999985
2005-05-29,Friendly,Poland,Albania,1,0,1,1,-2.2007630351843943,0.5457397202204319,-0.5958596032915171,302.0,38.0,148.03999999999996
2005-05-31,Friendly,Colombia,England,2,3,-1,0,2.6074262145581244,1.468881611673023,-0.787348354464859,-1038.0,-5.0,-84.94000000000005
